gene,mean_log1p_CP10K,detection_fraction,sd_log1p_CP10K
LINC01685,0.0,0.0,0.0
AL139260.1,0.008429352045414564,0.01064638783269962,0.08967272154089766
AKIRIN1,0.2965360308858415,0.3133079847908745,0.502158341101267
NDUFS5,1.4991438277513476,0.8494296577946768,0.7682815432992933
MACF1,0.8197367717335645,0.6212927756653992,0.7610824639816317
BMP8A,0.005299034394368279,0.0076045627376425855,0.06536534977437378
PPIE,0.11396487621180762,0.12395437262357414,0.33875464900675933
AL033527.3,0.001487127041800038,0.0007604562737642585,0.053927581927670436
AL033527.5,0.0,0.0,0.0
MFSD2A,0.008967190866567646,0.012167300380228136,0.09192226130245486
CAP1,0.9391931541692843,0.6737642585551331,0.7666697997484077
RLF,0.2609103595606431,0.2714828897338403,0.48672641358078295
TMCO2,0.00023940000753860062,0.0007604562737642585,0.008681345411079372
ZMPSTE24,0.2727091003989153,0.2859315589353612,0.4815914681755788
SMAP2,0.20461002924675592,0.20304182509505703,0.45273116271038477
ZFP69B,0.018223669504467545,0.022813688212927757,0.1321106321367366
ZFP69,0.013037257913283647,0.016730038022813688,0.10802641614846628
EXO5,0.025052517981531425,0.034220532319391636,0.14322599307271355
ZNF684,0.03560616112331128,0.04334600760456274,0.1849994451993353
NFYC,0.041037475102228244,0.04410646387832699,0.21198400191630418
KCNQ4,0.013891665181734585,0.012927756653992395,0.13090108386214996
CTPS1,0.06785043662540795,0.08288973384030418,0.2600108870545297
SLFNL1-AS1,0.008777599617809972,0.00988593155893536,0.10098738381023116
AC093151.3,0.0,0.0,0.0
FOXO6,0.001846729731330012,0.003041825095057034,0.037423533993237314
GUCA2B,0.0066378360433857475,0.006083650190114068,0.08935980514537531
RIMKLA,0.006268305743702256,0.006083650190114068,0.09643026216675406
PPCS,0.037069005396771416,0.048669201520912544,0.18077737935745578
CCDC30,0.015651145574205303,0.019011406844106463,0.12115740389857765
PPIH,0.18375700725726757,0.20152091254752852,0.41416207614372325
AC098484.2,0.000894477148820263,0.0007604562737642585,0.03243636109733242
