"sample","dataset","FAP13","matrix4","receptor2"
"GSM972063","discovery",0.735168384950387,0.625654819759362,0.155246613733207
"GSM972064","discovery",1.05706738106609,0.971345470701408,0.348288498048961
"GSM972065","discovery",0.333319586253127,0.135909115641077,-0.0403523140463259
"GSM972066","discovery",0.185783609896241,-0.0308781417144772,0.033148063384505
"GSM972067","discovery",0.604825796811508,0.853896189977508,0.146580876739436
"GSM972068","discovery",1.65425226687183,1.40910687474809,-0.13492892278442
"GSM972069","discovery",0.4534389460525,0.88245276548973,-0.693137666609001
"GSM972070","discovery",-0.414026229436771,-0.655130757734118,-0.599911275088024
"GSM972071","discovery",0.361698870658987,-0.0712242255836289,0.326579510956169
"GSM972072","discovery",0.302344397169571,0.814635753848685,0.850137976139377
"GSM972073","discovery",1.08315525924686,0.539229303236187,-0.380166922020989
"GSM972074","discovery",0.0111873373126184,-0.517137789875211,0.771222459210687
"GSM972075","discovery",-0.309135923524288,0.0740721538897095,-0.488375951143292
"GSM972076","discovery",0.690581543235121,0.426755714902481,0.475919228787891
"GSM972077","discovery",0.703780868982115,0.540962895096031,0.157302567519094
"GSM972078","discovery",0.853893514211948,0.851767752803131,-0.0629063859839732
"GSM972079","discovery",0.693558832683256,0.636279043739337,0.734387998229968
"GSM972080","discovery",0.583296575772062,0.655929125054938,0.271119261797127
"GSM972081","discovery",-0.133592172480153,-0.507875053297635,-0.103226726313333
"GSM972082","discovery",0.989604481242168,1.15097802409585,-0.238359576466858
"GSM972083","discovery",0.243406324280667,0.396144429839251,-0.387886992010254
"GSM972084","discovery",-0.0507188012362457,-0.182154373442684,-1.25775981348878
"GSM972085","discovery",0.484543074335329,0.0188407376521521,0.604389812267204
"GSM972086","discovery",-0.474867984651147,-0.70861995722178,-0.653968382116694
"GSM972087","discovery",-0.724561645536965,-1.56340010663387,0.496266132799986
"GSM972088","discovery",-0.165717896400774,-0.179577215400026,-0.693768477845179
"GSM972089","discovery",0.236535764120674,0.404351476979689,-0.692685244215318
"GSM972090","discovery",-1.23883781047188,-1.4988893930106,0.879979535812324
"GSM972091","discovery",-1.38403338378086,-1.70004557924374,-0.202566235301772
"GSM972092","discovery",0.895050031706206,0.809644338813131,0.603055211050151
"GSM972093","discovery",0.658694820359889,1.13021869046482,0.201324618120241
"GSM972094","discovery",0.854639310304413,0.700588340903496,-0.676735846327553
"GSM972095","discovery",0.67388538584732,0.628780756387419,0.70302704443178
"GSM972096","discovery",-1.411447718425,-1.58967993383175,-0.171017914752196
"GSM972097","discovery",1.61714393457213,2.01743082425851,-0.394707150091787
"GSM972098","discovery",-1.59845614076799,-2.10507219765465,0.240504055468346
"GSM972099","discovery",-0.806177772591999,-0.725246610748704,-0.960748924625201
"GSM972100","discovery",-0.242829789092341,-0.0174249287341471,0.189097332050438
"GSM972101","discovery",-0.437528262065575,-0.903753117758819,-1.10006578228752
"GSM972102","discovery",0.188905246246874,-0.128520534385027,-0.995385857655588
"GSM972103","discovery",0.428204364282299,0.470013019178023,-0.506918760892427
"GSM972104","discovery",1.07307116876814,1.27268200342475,-0.116164614457352
"GSM972105","discovery",-0.0210051714742911,0.418865586757541,-0.960523210072582
"GSM972106","discovery",0.0769040973116401,0.558876318676721,0.5098345037674
"GSM972107","discovery",0.195220031447839,0.187015812072149,-0.0562731942324524
"GSM972108","discovery",-0.487539398818467,-0.536075583160903,0.753209836297363
"GSM972109","discovery",-0.656133201164052,-0.000529269451947383,0.82152038998918
"GSM972110","discovery",-0.936455956690388,-1.40338586367331,-0.102281251781598
"GSM972111","discovery",-0.200670140427549,-0.86321756462918,0.287105965723313
"GSM972112","discovery",1.05564511181007,1.03202142097847,0.18867414087976
"GSM972113","discovery",1.23071514727934,1.22402782346396,-0.0485725037200633
"GSM972114","discovery",0.01297564442147,0.311723124468409,0.127754251805495
"GSM972115","discovery",-0.414211804286115,-0.0146351488206195,-0.313133378900654
"GSM972116","discovery",-0.774037590900409,-1.04751668251434,-1.58899883671211
