class,cell_type,cell_subtype,gene,n_cells,mean_log_normalized,median_log_normalized,positive_cells,positive_percent
Normal,Mast cells,Mast cells,CLDN3,184,0.0845580808585643,0.0,10,5.434782608695652
Normal,Mast cells,Mast cells,CLDN4,184,0.09860682634584475,0.0,11,5.978260869565218
Normal,Mast cells,Mast cells,CLDN7,184,0.029502464908237575,0.0,3,1.6304347826086956
Normal,Mast cells,Mast cells,CLDN18,184,0.0,0.0,0,0.0
Normal,Mast cells,Mast cells,OCLN,184,0.024660406194914962,0.0,2,1.0869565217391304
Normal,Mast cells,Mast cells,TJP1,184,0.008908751587824719,0.0,1,0.5434782608695652
Normal,Mast cells,Mast cells,CDH1,184,0.007179472667210146,0.0,1,0.5434782608695652
Normal,Mast cells,Mast cells,EPCAM,184,0.04704968446651039,0.0,5,2.717391304347826
Normal,Mast cells,Mast cells,VIM,184,3.764422401440352,3.864853923758636,184,100.0
Normal,Mast cells,Mast cells,ZEB1,184,0.0,0.0,0,0.0
Normal,Mast cells,Mast cells,SNAI1,184,0.015567330524558713,0.0,2,1.0869565217391304
Normal,Mast cells,Mast cells,SNAI2,184,0.0,0.0,0,0.0
Normal,Mast cells,Mast cells,TWIST1,184,0.0,0.0,0,0.0
Normal,Myeloids,Pro-inflammatory,FAP,74,0.0,0.0,0,0.0
Normal,Myeloids,Pro-inflammatory,COL1A1,74,0.07117889899257454,0.0,4,5.405405405405405
Normal,Myeloids,Pro-inflammatory,COL1A2,74,0.07200649626045756,0.0,6,8.108108108108109
Normal,Myeloids,Pro-inflammatory,COL3A1,74,0.023335525944716426,0.0,2,2.7027027027027026
Normal,Myeloids,Pro-inflammatory,FN1,74,0.0,0.0,0,0.0
Normal,Myeloids,Pro-inflammatory,POSTN,74,0.0,0.0,0,0.0
Normal,Myeloids,Pro-inflammatory,ACTA2,74,0.03871128485448245,0.0,3,4.054054054054054
Normal,Myeloids,Pro-inflammatory,TAGLN,74,0.08803215941505411,0.0,6,8.108108108108109
Normal,Myeloids,Pro-inflammatory,CXCL12,74,0.04907922724746978,0.0,2,2.7027027027027026
Normal,Myeloids,Pro-inflammatory,CCL2,74,0.5017285023461872,0.0,18,24.324324324324326
Normal,Myeloids,Pro-inflammatory,CD74,74,3.8323086428324578,3.937574909610302,73,98.64864864864865
Normal,Myeloids,Pro-inflammatory,HLA-DRA,74,3.9659490833387996,4.292307123356856,72,97.2972972972973
