test_ligand,auroc,aupr,aupr_corrected,pearson,rank,sender_mean_count,sender_positive_percent,cellchat_direct_support
SFRP2,0.562831835573892,0.0233528781939955,0.00691909666662056,0.0260473886663652,163,21.1619718309859,79.5774647887324,FALSE
GPC6,0.551559937770689,0.0226159751101746,0.00618219358279965,0.025994606017537,164,0.926056338028169,50,FALSE
CTSD,0.556648083237448,0.0224109144859352,0.00597713295856018,0.0259866442015801,165,2.95422535211268,85.9154929577465,FALSE
SDC2,0.552679434890451,0.022930875048005,0.00649709352063,0.0258468433801476,166,4.13732394366197,79.9295774647887,FALSE
BACE2,0.563309640575948,0.0209778522411015,0.00454407071372653,0.0258006303046062,167,0.683098591549296,45.4225352112676,FALSE
TYROBP,0.574052130436933,0.0242158369619494,0.00778205543457443,0.0256010559943964,168,0.165492957746479,14.4366197183099,FALSE
ENTPD1,0.575316402472328,0.0235160634927015,0.00708228196532655,0.0255962428162148,169,0.369718309859155,23.943661971831,FALSE
EFNA4,0.575413874692748,0.0241850970441248,0.00775131551674983,0.0253805834949018,170,0.158450704225352,13.7323943661972,FALSE
AGRN,0.572442883190038,0.0236662895230614,0.00723250799568644,0.0253777311760347,171,0.334507042253521,28.169014084507,TRUE
COL8A2,0.570629135402283,0.0236129643696607,0.00717918284228569,0.0253372485921802,172,0.390845070422535,24.6478873239437,FALSE
MMP1,0.56356383283707,0.0229562243163203,0.0065224427889453,0.0253356231857196,173,33.0070422535211,43.3098591549296,FALSE
VEGFB,0.564365589630465,0.0239079459033878,0.00747416437601276,0.0252537718599267,174,0.524647887323944,36.2676056338028,FALSE
CD320,0.56903900035549,0.0239484691890324,0.00751468766165742,0.0252324439473217,175,0.179577464788732,15.4929577464789,FALSE
CXCL16,0.571836070837448,0.0237415483969369,0.00730776686956193,0.0252252556557576,176,0.246478873239437,18.3098591549296,FALSE
TGFB3,0.561817455554579,0.0223753367801756,0.00594155525280065,0.0249116104070835,177,0.753521126760563,35.5633802816901,FALSE
LRIG1,0.555224702136345,0.023167732691805,0.00673395116443003,0.0248942577554004,178,0.320422535211268,26.4084507042254,FALSE
IGFBP3,0.55771119936701,0.0227349173892573,0.00630113586188232,0.0247816038026306,179,3.41901408450704,48.943661971831,TRUE
LTBP1,0.556194168485505,0.022769366687418,0.00633558516004298,0.0245751568900635,180,1.83802816901408,65.8450704225352,FALSE
B2M,0.562773065558658,0.0235328714059042,0.00709908987852916,0.0245747997216422,181,118.461267605634,100,FALSE
C3,0.570246413595666,0.0238334160153598,0.00739963448798477,0.0244548987321796,182,4.50352112676056,70.4225352112676,FALSE
DCN,0.561994721210331,0.0239319876173551,0.00749820608998008,0.0244210070071901,183,54.1619718309859,99.6478873239437,FALSE
ADAM12,0.562883916319142,0.0229547970192617,0.0065210154918867,0.0243852235968505,184,1.5669014084507,60.9154929577465,FALSE
CALM1,0.577622289412206,0.0243803741885741,0.00794659266119911,0.0243186529025291,185,5.8169014084507,90.4929577464789,FALSE
TFF2,0.575215107811913,0.0238130674242843,0.00737928589690935,0.0241395781740845,186,0.25,18.6619718309859,FALSE
EZR,0.562792177758738,0.0233276360266676,0.00689385449929264,0.0238803914893447,187,0.475352112676056,36.2676056338028,FALSE
S100A9,0.561904893869939,0.0231991226512978,0.00676534112392282,0.023825973147099,188,0.126760563380282,12.3239436619718,FALSE
SEMA4A,0.555576366617853,0.0228400850933296,0.00640630356595464,0.023667486673304,189,0.299295774647887,18.3098591549296,FALSE
ICAM1,0.577159296365205,0.0241322386288976,0.0076984571015226,0.0235475186734227,190,1.95422535211268,55.9859154929578,FALSE
SPINK1,0.567190850607578,0.0230903259615372,0.00665654443416224,0.0235173311356512,191,0.165492957746479,14.4366197183099,FALSE
WNT2,0.54750337330331,0.0221873705605865,0.0057535890332115,0.0230900519941211,192,1.35211267605634,49.6478873239437,TRUE
TIMP3,0.546983999266094,0.022287785806187,0.00585400427881206,0.0229099756119019,193,11.4964788732394,78.169014084507,FALSE
LRPAP1,0.555592611987932,0.0228689732610541,0.00643519173367909,0.0227605978140089,194,1.66197183098592,74.6478873239437,FALSE
ADAM9,0.571227825069839,0.0237152354200449,0.00728145389266996,0.022552169929583,195,0.53169014084507,40.4929577464789,FALSE
TRAF2,0.569164185265996,0.023679947005059,0.00724616547768399,0.0225260122663689,196,0.169014084507042,16.1971830985916,FALSE
FAP,0.560387862988447,0.0215866094113141,0.00515282788393909,0.022481350927161,197,4.9330985915493,100,FALSE
EFEMP2,0.564786058032269,0.021804533555735,0.00537075202836005,0.0221613434131619,198,3.84859154929577,88.3802816901409,FALSE
PLXNA1,0.550336279160434,0.0225618740321234,0.00612809250474846,0.0221412018386292,199,0.264084507042254,21.1267605633803,FALSE
COL6A1,0.570659237117397,0.023475762553097,0.00704198102572204,0.022119565348551,200,17.5422535211268,97.1830985915493,TRUE
SHISA4,0.547613746258788,0.0221446924865354,0.00571091095916037,0.0219682551524539,201,0.545774647887324,36.9718309859155,FALSE
APOE,0.56828932430726,0.0239329265150343,0.00749914498765927,0.0219193245449932,202,5.13732394366197,55.2816901408451,FALSE
COL8A1,0.559432252984358,0.0222637706463226,0.00582998911894765,0.0216989641692359,203,2.48239436619718,61.9718309859155,FALSE
SEMA3B,0.563677550427535,0.0240578205312017,0.00762403900382669,0.0213305183995545,204,0.119718309859155,10.9154929577465,FALSE
COL10A1,0.542992894084011,0.0238151426168662,0.00738136108949123,0.0212454572119708,205,3.80985915492958,70.7746478873239,FALSE
GDF15,0.556361878041226,0.0228031532600639,0.00636937173268892,0.0211431094813442,206,0.573943661971831,28.169014084507,FALSE
CD44,0.575215107811911,0.0240658933532663,0.00763211182589127,0.021133497675533,207,2.02816901408451,68.3098591549296,FALSE
