gene,logFC,logCPM,F,PValue,FDR
TLE4,1.33602541220237,3.99212667385879,16.3525622065239,0.00108088268636795,0.228474100579976
AIMP2,-1.17810077601256,5.50044223909929,16.3137883653065,0.00109050968644434,0.228474100579976
TP53RK,-1.37203632938078,4.91848513280245,16.3016071974106,0.00109429440166273,0.228474100579976
SLC4A4,3.5240214705693,1.88228739350686,16.1471367050649,0.00112234051311997,0.228474100579976
NRIP1,0.846373150916195,3.4439553528831,16.1859648279128,0.00112784467110806,0.228474100579976
SMIM14,1.31197164110062,5.80491499353826,16.168503084028,0.00113082767586394,0.228474100579976
LRRC26,3.55341889603871,4.87823865147699,16.0462099215224,0.0011689749924874,0.228474100579976
RARRES2,2.7869974331561,4.88799743299929,16.0049666975225,0.00117947463200144,0.228474100579976
SF3B6,-0.698097277979691,8.15158888034807,15.9990116758473,0.00118007767227169,0.228474100579976
EMILIN1,1.38079010695271,0.725230116972749,15.9336356511985,0.00121828483357495,0.232242574966572
MIF-AS1,1.63024657854173,2.17855761147566,15.7618202412833,0.00126749107658197,0.23796184742314
NKAP,-1.14095557238874,5.39798745549423,15.6215526493402,0.00129951875210733,0.239970305533626
TMEM173,1.63796451292401,4.69512520941525,15.5378617061369,0.00132800419870971,0.239970305533626
C3,2.86171319064688,2.79963498153912,15.476175655228,0.00136378747608434,0.239970305533626
CLPP,-0.692752388829501,6.21380361108917,15.4142162029905,0.00137039511922427,0.239970305533626
MB,2.64441609724898,1.7132969624564,15.3860520481107,0.00139740961799837,0.239970305533626
HSPA2,2.65843396666498,3.7937943398188,15.2936367610388,0.001418885024904,0.239970305533626
ESF1,-1.43609638491932,5.55173821430314,15.2696946095369,0.00142300944495699,0.239970305533626
COL6A2,2.12660332895119,2.75459368836844,15.2707137599558,0.00143312102408912,0.239970305533626
ZBTB17,0.944217173626043,2.89012122191962,15.1987458263324,0.00145459885746138,0.240319125904054
PDCD5,-1.0680529273623,7.9426129842671,15.0850901257871,0.00149270999260485,0.243370651557457
LGALS9C,2.49607617202307,0.957606646588189,14.8546333219108,0.00156378934715686,0.250163181761191
AEBP1,2.19068826917773,1.78354899894352,14.9395513301399,0.00157475007484246,0.250163181761191
SNRPB2,-1.33413708376749,7.51480070604695,14.7514101008635,0.00162963755434083,0.250856156039081
QKI,2.5350601023866,2.17805346910087,14.6704338819056,0.00168729673287414,0.250856156039081
DCN,2.05258483219079,3.09345871039981,14.5350165033554,0.00173435652726302,0.250856156039081
DMBT1,3.73629879074542,5.52682902443966,14.5039190905937,0.00174258041769913,0.250856156039081
RP11-757F18.5,1.64923324486463,1.22947906131464,14.5416398594922,0.00175329131721488,0.250856156039081
DPY30,-0.682017227487226,6.9790753337478,14.4693783230973,0.00175661210638957,0.250856156039081
FUT3,1.10713556984281,5.71677214003341,14.3598618902706,0.00180907247591797,0.250856156039081
C18orf32,1.49131884687466,3.40599442772273,14.3524840217656,0.00181652831493322,0.250856156039081
METTL5,-0.849818267659265,6.69876715077595,14.3264701964027,0.00182528018209523,0.250856156039081
IGFBP5,3.12402177489568,2.38256690661856,14.3547976170579,0.00183336760610836,0.250856156039081
RPS7,-0.90171976567259,11.6690779458409,14.2137630829321,0.00188151167955627,0.250856156039081
MMP2,2.2013109223534,2.50946216785748,14.0561497909328,0.00198161944469924,0.250856156039081
SAC3D1,-1.02787662881641,4.5497682201411,13.9586555354155,0.00201786332347393,0.250856156039081
HID1,1.61218947363779,4.16078141591232,13.9498379334232,0.00202301340218908,0.250856156039081
FCGBP,5.07693926479568,7.04601292328317,13.9327935455546,0.00203216039440141,0.250856156039081
PET100,0.815249361773256,6.42607006963521,13.9237619576219,0.00203565432946381,0.250856156039081
RPL17,1.07763390986165,7.94056736462881,13.9207227711079,0.00203734141717127,0.250856156039081
MGRN1,0.796562754643617,4.51677609941389,13.8146803663375,0.00209816533999405,0.250856156039081
DTD1,-1.38781134354135,6.09765971235067,13.8012425769664,0.00210533734539006,0.250856156039081
RBMX2,-0.965804530486433,5.28860375428164,13.7662591208452,0.00212589273715589,0.250856156039081
PDP2,-1.1880133026664,2.33979259071296,13.7879898703289,0.00213080222518301,0.250856156039081
ABRACL,-0.874017219889172,7.0848036296362,13.7422390749038,0.00213945330007647,0.250856156039081
NCF1,1.56603293584181,1.27398099206973,13.8010415669964,0.00214055500933586,0.250856156039081
CYP4X1,3.54874814578122,2.23123233692571,13.7497389619829,0.00214247798145031,0.250856156039081
ATP6V0A1,0.834287726992324,4.05970527405233,13.7391559969591,0.00214284993428401,0.250856156039081
C1S,1.53458267825381,2.11864676476881,13.7557873586557,0.0021524280661683,0.250856156039081
MCUR1,-0.850529275582327,5.84190293006173,13.7099773167869,0.00215880159263721,0.250856156039081
DSG3,3.66935792515613,2.65505544270278,13.7183890819444,0.00217403127493106,0.250856156039081
RNF113A,-1.00052651340775,4.43008213486368,13.6701852555449,0.00218411403544851,0.250856156039081
GALNT8,3.17956604823348,2.40376382390382,13.677999941193,0.0022021959986451,0.250856156039081
COL5A1,1.66586459026863,1.31715917757133,13.6478764313424,0.0022313697147807,0.250856156039081
AQP3,3.74599367430722,5.74199967961644,13.5864877861596,0.00223512926818731,0.250856156039081
TCTE3,-1.90771969587638,1.40716555618172,13.4668701570116,0.0022666403212804,0.250856156039081
TNFAIP2,1.87524546590121,3.18420078162679,13.477380026739,0.00230980857359785,0.250856156039081
GABPB1-AS1,-1.01327061530582,4.01805041754863,13.3651622972645,0.00237811072945925,0.250856156039081
PBDC1,-0.839159100446599,5.74094873382871,13.3391108945602,0.00239260744787482,0.250856156039081
ENTPD8,2.797018171125,3.7890252776267,13.3251548726514,0.00241004165866647,0.250856156039081
SSUH2,-3.00948016744493,2.14302488894126,13.1858248007271,0.0024242086500257,0.250856156039081
KLHL7,-0.704326368039095,3.87937174263003,13.2532840574595,0.00245360787837214,0.250856156039081
F10,-3.66264072932297,2.28386345006293,12.9732359074465,0.00246351511966518,0.250856156039081
TMEM191C,1.45111960771109,3.58065631426823,13.2353532432489,0.00246673111977411,0.250856156039081
POLR2F,-0.845195670961346,7.22973436068561,13.1962992317878,0.00248994102442107,0.250856156039081
