drug,n_high,n_low,median_high,median_low,median_difference,mean_high,mean_low,mean_difference,p_value,fdr_bh,sensitivity_rank
BDP-00009066_1866,191,192,2.32137861348613,2.52217094747038,-0.200792333984241,2.37505235099798,2.51248253107125,-0.137430180073276,9.55737144189801e-05,0.000189235954549581,96
I-BET-762_1624,191,192,3.40687864791885,3.51539496879629,-0.108516320877435,3.41648542263691,3.55312119498824,-0.13663577235133,0.00171095857395651,0.00270562544640646,97
Telomerase Inhibitor IX_1930,191,192,0.588352134011852,0.72434983442051,-0.135997700408658,0.591391609337613,0.727755455544777,-0.136363846207164,0.00257449669588928,0.00392115650604675,98
Palbociclib_1054,191,192,3.78219255456346,3.91967378609602,-0.137481231532553,3.78819150892088,3.92234485878732,-0.134153349866437,0.0328600009379778,0.0425247070962065,99
Uprosertib_1553,191,192,2.9207972760182,3.03288382403081,-0.112086548012608,2.93942551702807,3.07106144325689,-0.131635926228821,0.00018333332764001,0.00034903845069925,100
Olaparib_1017,191,192,4.41844619774981,4.53997440152497,-0.121528203775157,4.42304663017999,4.55040450269989,-0.127357872519901,0.0124747695628507,0.0180292290032441,101
IGF1R_3801_1738,191,192,1.60719797409406,1.70088995442047,-0.0936919803264087,1.62253124868879,1.74243547839865,-0.119904229709866,0.159887878421105,0.189567664235801,102
AZD5153_1706,191,192,1.84091318598709,1.92306784684459,-0.0821546608574968,1.86152501181256,1.97951382234423,-0.117988810531671,0.0889717496865222,0.110102540237071,103
GSK2578215A_1927,191,192,5.00752858639847,5.11603560211869,-0.108507015720226,5.03680672398637,5.15217172604557,-0.115365002059199,0.00101677934329858,0.00165018286863212,104
BIBR-1532_2043,191,192,5.00491232243027,5.14130540359816,-0.136393081167892,5.00998142411195,5.12508833316705,-0.115106909055102,0.00075715637381256,0.00127048272893972,105
AZ6102_2109,191,192,2.41450361210467,2.49411246429548,-0.0796088521908072,2.47794998101754,2.58496452927156,-0.107014548254024,0.0203767918291217,0.0280180887650423,106
