source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence,sample_id,patient_id,replicate,sender_spots,receiver_spots,prespecified_direction
Fibroblastic_stroma,Fibroblastic_stroma,COL1A2,CD44,0.179466025745856,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor,COL1A2,CD44,0.0933624823876933,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,TRUE
Tumor_stroma,Tumor,COL1A2,CD44,0.16719442116314,0.03,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A2,CD44,0.142791065172399,0,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Tumor_stroma,COL1A2,CD44,0.163869925540847,0.57,COL1A2_CD44,COL1A2 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A1,SDC4,0.0994938209532539,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Fibroblastic_stroma,COL1A1,SDC4,0.0674847424159308,0.99,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor,COL1A1,SDC4,0.0487791095137149,0.01,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,TRUE
Tumor_stroma,Tumor,COL1A1,SDC4,0.0898599063875278,0.93,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A1,SDC4,0.0846674621837309,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Tumor_stroma,COL1A1,SDC4,0.100185257025518,0,COL1A1_SDC4,COL1A1 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A2,SDC4,0.108975729480278,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor,COL1A2,SDC4,0.0534218306110404,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,TRUE
Tumor_stroma,Tumor,COL1A2,SDC4,0.0941405838391922,0.95,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A2,SDC4,0.0925923376998836,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Tumor_stroma,COL1A2,SDC4,0.104889863874932,0,COL1A2_SDC4,COL1A2 - SDC4,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,FN1,SDC4,0.0654476751613226,0.13,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Fibroblastic_stroma,FN1,SDC4,0.0467578807580811,0.79,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor,FN1,SDC4,0.032100157825015,0.04,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,TRUE
Tumor_stroma,Tumor,FN1,SDC4,0.0622810523919227,0.64,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Tumor_stroma,FN1,SDC4,0.0560076864626895,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Tumor_stroma,Tumor_stroma,FN1,SDC4,0.0697284446305933,0,FN1_SDC4,FN1 - SDC4,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep1,A416371,Rep1,728,672,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,FN1,CD44,0.159877829079265,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Tumor_stroma,Fibroblastic_stroma,FN1,CD44,0.102364837564948,0.84,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Fibroblastic_stroma,Tumor,FN1,CD44,0.0794204098116167,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,TRUE
Tumor_stroma,Tumor,FN1,CD44,0.145902617654104,0.44,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Fibroblastic_stroma,Tumor_stroma,FN1,CD44,0.119205043324209,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Tumor_stroma,Tumor_stroma,FN1,CD44,0.150024372891394,0,FN1_CD44,FN1 - CD44,FN1,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Fibroblastic_stroma,Fibroblastic_stroma,COL1A1,CD44,0.224470132079567,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Tumor_stroma,Fibroblastic_stroma,COL1A1,CD44,0.146497208626552,0.54,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Fibroblastic_stroma,Tumor,COL1A1,CD44,0.111336580492328,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,TRUE
Tumor_stroma,Tumor,COL1A1,CD44,0.208499537353535,0.12,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
Fibroblastic_stroma,Tumor_stroma,COL1A1,CD44,0.16668270545771,0,COL1A1_CD44,COL1A1 - CD44,COLLAGEN,ECM-Receptor,KEGG: hsa04512,SN048_A416371_Rep2,A416371,Rep2,524,627,FALSE
